"","Nest","maxclutch","year","site"
"1","ADS001",6,1994,"kig"
"2","ADS002",6,1994,"kig"
"3","ADS003",7,1994,"kig"
"4","ADS004",6,1994,"kig"
"5","ADS008",6,1994,"kig"
"6","ADS010",6,1994,"kig"
"7","ADS014",6,1994,"kig"
"8","ADS017",6,1994,"kig"
"9","ADS022",6,1994,"kig"
"10","ADS025",6,1994,"kig"
"11","ADS027",6,1994,"kig"
"12","ADS028",5,1994,"kig"
"13","ADS029",6,1994,"kig"
"14","ADS030",6,1994,"kig"
"15","ADS031",6,1994,"kig"
"16","ADS032",4,1994,"kig"
"17","ADS035",6,1994,"kig"
"18","ADS036",6,1994,"kig"
"19","ADS037",6,1994,"kig"
"20","ADS040",4,1994,"kig"
"21","ADS044",6,1994,"kig"
"22","ADS046",5,1994,"kig"
"23","KSB001",6,1994,"kig"
"24","KSB002",7,1994,"kig"
"25","KSB003",6,1994,"kig"
"26","KSB005",3,1994,"kig"
"27","KSB006",7,1994,"kig"
"28","KSB007",5,1994,"kig"
"29","KSB009",7,1994,"kig"
"30","KSB011",6,1994,"kig"
"31","KSB014",4,1994,"kig"
"32","KSB016",3,1994,"kig"
"33","KSB017",4,1994,"kig"
"34","TDB001",3,1994,"kig"
"35","TDB002",4,1994,"kig"
"36","TDB003",4,1994,"kig"
"37","TDB004",6,1994,"kig"
"38","TLM001",6,1994,"kig"
"39","TLM003",6,1994,"kig"
"40","TLM004",5,1994,"kig"
"41","TLM007",6,1994,"kig"
"42","TLM012",6,1994,"kig"
"43","TLM014",7,1994,"kig"
"44","TLM016",7,1994,"kig"
"45","TLM017",6,1994,"kig"
"46","TLM019",6,1994,"kig"
"47","TLM020",6,1994,"kig"
"48","TLM021",5,1994,"kig"
"49","TLM023",5,1994,"kig"
"50","TLM026",5,1994,"kig"
"51","TLM028",6,1994,"kig"
"52","TLM029",5,1994,"kig"
"53","TLM031",6,1994,"kig"
"54","TLM032",5,1994,"kig"
"55","TLM033",7,1994,"kig"
"56","TLM042",5,1994,"kig"
"57","TLM043",6,1994,"kig"
"58","TLM045",5,1994,"kig"
"59","TLM046",6,1994,"kig"
"60","TLM047",6,1994,"kig"
"61","TLM051",6,1994,"kig"
"62","TLM052",3,1994,"kig"
"63","TLM053",6,1994,"kig"
"64","TLM067",5,1994,"kig"
"65","TLM070",6,1994,"kig"
"66","TLM071",5,1994,"kig"
"67","TLM073",5,1994,"kig"
"68","TLM074",5,1994,"kig"
"69","TLM075",5,1994,"kig"
"70","TLM078",6,1994,"kig"
"71","TLM079",7,1994,"kig"
"72","TLM080",6,1994,"kig"
"73","TLM082",5,1994,"kig"
"74","TLM083",4,1994,"kig"
"75","TLM087",5,1994,"kig"
"76","TLM088",6,1994,"kig"
"77","TLM091",6,1994,"kig"
"78","TLM094",4,1994,"kig"
"79","TLM096",5,1994,"kig"
"80","TLM097",4,1994,"kig"
"81","TLM099",5,1994,"kig"
"82","MRB003",5,1995,"kig"
"83","MRB004",6,1995,"kig"
"84","MRB007",6,1995,"kig"
"85","MRB010",6,1995,"kig"
"86","MRB011",5,1995,"kig"
"87","MRB012",4,1995,"kig"
"88","MRB014",6,1995,"kig"
"89","MRB016",6,1995,"kig"
"90","MRB017",5,1995,"kig"
"91","MRB019",5,1995,"kig"
"92","MRB021",5,1995,"kig"
"93","MRB022",4,1995,"kig"
"94","MRB025",6,1995,"kig"
"95","MRB027",6,1995,"kig"
"96","MRB029",6,1995,"kig"
"97","MRB030",6,1995,"kig"
"98","MRB031",5,1995,"kig"
"99","MRB032",5,1995,"kig"
"100","MRB033",6,1995,"kig"
"101","MRB034",5,1995,"kig"
"102","MRB035",4,1995,"kig"
"103","MRB036",5,1995,"kig"
"104","MRB037",4,1995,"kig"
"105","MRB039",2,1995,"kig"
"106","MRB040",4,1995,"kig"
"107","MRB041",5,1995,"kig"
"108","MRB042",4,1995,"kig"
"109","MRB046",5,1995,"kig"
"110","MRB049",4,1995,"kig"
"111","MRB050",4,1995,"kig"
"112","MRB051",5,1995,"kig"
"113","MRB052",6,1995,"kig"
"114","MRB053",3,1995,"kig"
"115","MRB054",5,1995,"kig"
"116","MRB055",5,1995,"kig"
"117","MRB056",2,1995,"kig"
"118","MRB060",4,1995,"kig"
"119","MRB061",5,1995,"kig"
"120","MRB062",6,1995,"kig"
"121","MRB063",4,1995,"kig"
"122","MRB064",2,1995,"kig"
"123","MRB065",6,1995,"kig"
"124","MRB066",5,1995,"kig"
"125","MRB067",2,1995,"kig"
"126","MRB071",3,1995,"kig"
"127","TLM007",5,1995,"kig"
"128","TLM016",6,1995,"kig"
"129","TLM017",5,1995,"kig"
"130","TLM018",5,1995,"kig"
"131","TLM019",5,1995,"kig"
"132","TLM026",6,1995,"kig"
"133","TLM028",4,1995,"kig"
"134","TLM029",6,1995,"kig"
"135","TLM030",6,1995,"kig"
"136","TLM031",5,1995,"kig"
"137","TLM032",3,1995,"kig"
"138","TLM033",6,1995,"kig"
"139","TLM034",3,1995,"kig"
"140","TLM039",6,1995,"kig"
"141","TLM040",5,1995,"kig"
"142","TLM043",5,1995,"kig"
"143","TLM044",5,1995,"kig"
"144","TLM045",5,1995,"kig"
"145","TLM046",4,1995,"kig"
"146","TLM048",5,1995,"kig"
"147","TLM051",6,1995,"kig"
"148","TLM052",4,1995,"kig"
"149","TLM056",5,1995,"kig"
"150","TLM057",5,1995,"kig"
"151","TLM058",6,1995,"kig"
"152","TLM059",5,1995,"kig"
"153","TLM060",6,1995,"kig"
