"","X","Nest","maxclutch","year","site","win_hi","spr_hi","wxt","sxt","wxw","sxw","wsi"
"1",1,"ADS001",6,1994,"kig",46,9,14,1,7,1,127.995
"2",2,"ADS002",6,1994,"kig",46,9,14,1,7,1,127.995
"3",3,"ADS003",7,1994,"kig",46,9,14,1,7,1,127.995
"4",4,"ADS004",6,1994,"kig",46,9,14,1,7,1,127.995
"5",5,"ADS008",6,1994,"kig",46,9,14,1,7,1,127.995
"6",6,"ADS010",6,1994,"kig",46,9,14,1,7,1,127.995
"7",7,"ADS014",6,1994,"kig",46,9,14,1,7,1,127.995
"8",8,"ADS017",6,1994,"kig",46,9,14,1,7,1,127.995
"9",9,"ADS022",6,1994,"kig",46,9,14,1,7,1,127.995
"10",10,"ADS025",6,1994,"kig",46,9,14,1,7,1,127.995
"11",11,"ADS027",6,1994,"kig",46,9,14,1,7,1,127.995
"12",12,"ADS028",5,1994,"kig",46,9,14,1,7,1,127.995
"13",13,"ADS029",6,1994,"kig",46,9,14,1,7,1,127.995
"14",14,"ADS030",6,1994,"kig",46,9,14,1,7,1,127.995
"15",15,"ADS031",6,1994,"kig",46,9,14,1,7,1,127.995
"16",16,"ADS032",4,1994,"kig",46,9,14,1,7,1,127.995
"17",17,"ADS035",6,1994,"kig",46,9,14,1,7,1,127.995
"18",18,"ADS036",6,1994,"kig",46,9,14,1,7,1,127.995
"19",19,"ADS037",6,1994,"kig",46,9,14,1,7,1,127.995
"20",20,"ADS040",4,1994,"kig",46,9,14,1,7,1,127.995
"21",21,"ADS044",6,1994,"kig",46,9,14,1,7,1,127.995
"22",22,"ADS046",5,1994,"kig",46,9,14,1,7,1,127.995
"23",23,"KSB001",6,1994,"kig",46,9,14,1,7,1,127.995
"24",24,"KSB002",7,1994,"kig",46,9,14,1,7,1,127.995
"25",25,"KSB003",6,1994,"kig",46,9,14,1,7,1,127.995
"26",26,"KSB005",3,1994,"kig",46,9,14,1,7,1,127.995
"27",27,"KSB006",7,1994,"kig",46,9,14,1,7,1,127.995
"28",28,"KSB007",5,1994,"kig",46,9,14,1,7,1,127.995
"29",29,"KSB009",7,1994,"kig",46,9,14,1,7,1,127.995
"30",30,"KSB011",6,1994,"kig",46,9,14,1,7,1,127.995
"31",31,"KSB014",4,1994,"kig",46,9,14,1,7,1,127.995
"32",32,"KSB016",3,1994,"kig",46,9,14,1,7,1,127.995
"33",33,"KSB017",4,1994,"kig",46,9,14,1,7,1,127.995
"34",34,"TDB001",3,1994,"kig",46,9,14,1,7,1,127.995
"35",35,"TDB002",4,1994,"kig",46,9,14,1,7,1,127.995
"36",36,"TDB003",4,1994,"kig",46,9,14,1,7,1,127.995
"37",37,"TDB004",6,1994,"kig",46,9,14,1,7,1,127.995
"38",38,"TLM001",6,1994,"kig",46,9,14,1,7,1,127.995
"39",39,"TLM003",6,1994,"kig",46,9,14,1,7,1,127.995
"40",40,"TLM004",5,1994,"kig",46,9,14,1,7,1,127.995
"41",41,"TLM007",6,1994,"kig",46,9,14,1,7,1,127.995
"42",42,"TLM012",6,1994,"kig",46,9,14,1,7,1,127.995
"43",43,"TLM014",7,1994,"kig",46,9,14,1,7,1,127.995
"44",44,"TLM016",7,1994,"kig",46,9,14,1,7,1,127.995
"45",45,"TLM017",6,1994,"kig",46,9,14,1,7,1,127.995
"46",46,"TLM019",6,1994,"kig",46,9,14,1,7,1,127.995
"47",47,"TLM020",6,1994,"kig",46,9,14,1,7,1,127.995
"48",48,"TLM021",5,1994,"kig",46,9,14,1,7,1,127.995
