"","x","predicted","std.error","conf.low","conf.high","Site"
"1",-2.5,4.34881660865042,0.0550227668151545,3.90423211634366,4.84402702813304,"Kigigak Island"
"2",-2.5,4.80784258403982,0.0671280878936466,4.21512742220294,5.48390309416222,"Utqiaġvik"
"3",-2,4.41405493610823,0.0457011682810862,4.03586684350612,4.82768181768231,"Kigigak Island"
"4",-2,4.87996694270771,0.0619766745695944,4.32177585688323,5.51025276426396,"Utqiaġvik"
"5",-1.5,4.48027192966132,0.0368745965886518,4.16789395684503,4.81606220588819,"Kigigak Island"
"6",-1.5,4.95317326756362,0.0581900625039364,4.41928539895876,5.55155940466921,"Utqiaġvik"
"7",-1,4.547482270669,0.0289986575888232,4.29622791324228,4.81343062324698,"Kigigak Island"
"8",-1,5.02747778961263,0.0560455683776781,4.5044740192565,5.61120628446209,"Utqiaġvik"
"9",-0.5,4.61570086073149,0.0230684977272074,4.41165674265403,4.82918225023567,"Kigigak Island"
"10",-0.5,5.10289698334758,0.0557330716217966,4.57484858169692,5.69189496824814,"Utqiaġvik"
"11",0,4.68494282499383,0.0208191308628599,4.49762268559986,4.88006460473771,"Kigigak Island"
"12",0,5.17944757040174,0.0572825626790735,4.62939710237913,5.79485331270325,"Utqiaġvik"
"13",0.5,4.7552235154994,0.023340180150075,4.54259206619595,4.97780790193084,"Kigigak Island"
"14",0.5,5.25714652325625,0.0605512665335913,4.66883740894442,5.91958707194172,"Utqiaġvik"
"15",1,4.82655851459367,0.0294302393134914,4.55602932317189,5.11315126448272,"Kigigak Island"
"16",1,5.33601106900316,0.0652814441294032,4.69514550499705,6.06435180724866,"Utqiaġvik"
"17",1.5,4.89896363837907,0.0373839690204124,4.55284561559326,5.27139436662689,"Kigigak Island"
"18",1.5,5.41605869316502,0.0711823376511135,4.71078025910168,6.22692848199252,"Utqiaġvik"
"19",2,4.97245494022167,0.046249653733269,4.54153933107991,5.44425718463514,"Kigigak Island"
"20",2,5.49730714357163,0.0779886569726151,4.71808691686298,6.40522024355944,"Utqiaġvik"
