"","Nest","Init","Year","Site","Win_Hi","Spr_Hi","wxt","sxt","wxw","sxw","wsi","wi"
"1","ADS001",141,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"2","ADS002",143,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"3","ADS003",141,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"4","ADS004",141,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"5","ADS008",145,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"6","ADS014",145,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"7","ADS017",145,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"8","ADS022",148,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"9","ADS030",147,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"10","ADS031",151,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"11","ADS032",148,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"12","ADS036",139,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"13","ADS037",146,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"14","KSB001",140,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"15","KSB002",140,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"16","KSB005",154,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"17","KSB006",147,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"18","KSB011",147,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"19","KSB014",151,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"20","KSB017",150,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"21","TDB002",155,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"22","TLM004",141,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"23","TLM007",142,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"24","TLM012",140,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"25","TLM014",143,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"26","TLM016",141,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"27","TLM017",141,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"28","TLM021",143,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"29","TLM023",143,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"30","TLM026",140,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"31","TLM029",147,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"32","TLM031",145,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"33","TLM033",145,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"34","TLM042",145,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"35","TLM043",145,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"36","TLM045",133,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"37","TLM047",143,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"38","TLM051",144,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"39","TLM052",151,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"40","TLM053",142,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"41","TLM067",152,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"42","TLM070",146,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"43","TLM071",147,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"44","TLM073",150,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"45","TLM074",144,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"46","TLM075",145,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"47","TLM078",148,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"48","TLM079",150,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"49","TLM082",148,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"50","TLM083",155,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"51","TLM087",142,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"52","TLM088",148,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"53","TLM091",138,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"54","TLM094",144,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"55","TLM096",149,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"56","TLM097",146,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"57","ADS010",142,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"58","ADS027",153,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"59","ADS028",150,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"60","ADS029",150,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"61","ADS035",152,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"62","ADS040",147,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"63","ADS044",144,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"64","ADS046",158,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"65","KSB009",149,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"66","TDB001",155,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"67","TDB003",155,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"68","TLM003",141,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"69","TLM006",142,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"70","TLM019",146,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"71","TLM028",141,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"72","TLM032",142,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"73","TLM046",146,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"74","TLM054",152,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"75","TLM080",140,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"76","TLM099",156,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"77","KSB007",150,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"78","TLM001",141,1994,"kig",46,9,14,1,7,1,127.9954988,98.1253026
"79","MRB003",143,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"80","MRB004",140,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"81","MRB007",144,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"82","MRB010",146,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"83","MRB011",143,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"84","MRB012",146,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"85","MRB014",147,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"86","MRB016",141,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"87","MRB019",148,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"88","MRB021",140,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"89","MRB025",141,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"90","MRB030",144,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"91","MRB033",144,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"92","MRB034",146,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"93","MRB036",143,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"94","MRB040",146,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"95","MRB041",147,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"96","MRB042",144,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"97","MRB049",149,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"98","MRB050",156,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"99","MRB051",148,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"100","MRB052",151,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"101","MRB053",157,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"102","MRB054",151,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"103","MRB055",154,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"104","MRB061",148,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"105","MRB063",153,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"106","MRB065",146,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"107","MRB067",147,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"108","MRB071",155,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"109","TLM007",143,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"110","TLM018",142,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"111","TLM026",144,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"112","TLM029",141,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"113","TLM030",145,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"114","TLM031",142,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"115","TLM039",144,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
"116","TLM040",146,1995,"kig",79,7,13,5,9,1,260.7110917,251.8700774
