,Nest,FirstFound,LastPresent,LastChecked,Fate,Freq,Init,AgeDay1,Year,Site,Win_Hi,Win_Lo,Spr_Hi,Spr_Lo,wxt,sxt,wxw,sxw,wsi,wi
1,ADS001,1,27,27,0,1,141,2,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
2,ADS002,3,26,26,0,1,143,0,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
3,ADS003,4,27,27,0,1,141,2,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
4,ADS004,4,20,20,0,1,141,2,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
5,ADS008,5,27,27,0,1,145,-2,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
6,ADS014,8,24,24,0,1,145,-2,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
7,ADS017,8,29,29,0,1,145,-2,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
8,ADS022,8,30,30,0,1,148,-5,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
9,ADS030,13,34,34,0,1,147,-4,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
10,ADS031,14,36,36,0,1,151,-8,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
11,ADS032,4,31,31,0,1,148,-5,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
12,ADS036,15,31,31,0,1,139,4,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
13,ADS037,15,31,31,0,1,146,-3,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
14,KSB001,16,27,27,0,1,140,3,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
15,KSB002,16,30,30,0,1,140,3,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
16,KSB005,18,36,36,0,1,154,-11,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
17,KSB006,18,29,29,0,1,147,-4,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
18,KSB011,26,32,32,0,1,147,-4,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
19,KSB014,27,39,39,0,1,151,-8,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
20,KSB017,29,32,32,0,1,150,-7,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
21,TDB002,24,47,47,0,1,155,-12,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
22,TLM004,1,24,24,0,1,141,2,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
23,TLM007,2,26,26,0,1,142,1,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
24,TLM012,3,24,24,0,1,140,3,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
25,TLM014,3,28,28,0,1,143,0,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
26,TLM016,4,27,27,0,1,141,2,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
27,TLM017,4,25,25,0,1,141,2,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
28,TLM021,6,28,28,0,1,143,0,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
29,TLM023,6,29,29,0,1,143,0,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
30,TLM026,6,18,18,0,1,140,3,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
31,TLM029,7,31,31,0,1,147,-4,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
32,TLM031,8,30,30,0,1,145,-2,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
33,TLM033,8,24,24,0,1,145,-2,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
34,TLM042,8,28,28,0,1,145,-2,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
35,TLM043,8,30,30,0,1,145,-2,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
36,TLM045,9,20,20,0,1,133,10,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
37,TLM047,9,27,27,0,1,143,0,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
38,TLM051,10,23,23,0,1,144,-1,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
39,TLM052,11,34,34,0,1,151,-8,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
40,TLM053,11,25,25,0,1,142,1,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
41,TLM067,12,33,33,0,1,152,-9,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
42,TLM070,12,25,25,0,1,146,-3,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
43,TLM071,13,29,29,0,1,147,-4,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
44,TLM073,13,24,24,0,1,150,-7,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
45,TLM074,13,29,29,0,1,144,-1,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
46,TLM075,14,26,26,0,1,145,-2,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
47,TLM078,14,29,29,0,1,148,-5,1994,kig,46,50,9,0,14,1,7,1,127.9954988,98.1253026
