"","year_winter","wsxt","wxt","sxt","wmt","smt","wsxw","wxw","sxw","wmw","smw","ws95","w95","s95","ws15","w15","s15","wsi","wi","si"
"1",1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026
"2",1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389
"3",1995,6,6,2,-2.54276315789474,-2.58,9,8,3,8.27763157894737,7.81666666666667,60,55,5,55,53,2,186.633288816554,178.586099254383,8.0471895621705
"4",1996,6,5,1,-4.18344370860927,-3.22666666666667,8,6,0,8.00466666666667,6.13333333333333,52,39,13,65,64,1,109.697954015797,74.9673180076768,31.2051741585759
"5",1997,9,9,0,-5.47218543046358,-2.15,6,4,2,7.30859375,8.53333333333333,74,63,11,48,48,0,221.200051668264,182.428026348894,23.0258509299405
"6",1998,7,6,2,-4.99801324503311,-4.05,8,7,1,8.37152317880795,6.78,75,57,18,60,60,0,211.555377706007,176.616343102057,33.0294920990657
"7",1999,15,15,0,-6.13684210526316,-2.27666666666667,8,6,0,8.25592105263158,6.95,83,73,10,28,28,0,202.981929520701,165.657013370172,29.818879797456
"8",2000,0,0,0,-2.10596026490066,-2.23333333333333,12,11,3,8.00529801324503,7.56666666666667,10,0,10,111,109,2,12.476649250079,0,12.476649250079
"9",2001,19,19,0,-5.7794701986755,-1.45333333333333,15,14,2,8.31986754966887,7.50666666666667,69,51,18,45,45,0,183.057713957143,141.161051379493,44.3986746953407
"10",2002,0,0,0,-2.99072847682119,-0.423333333333333,4,3,3,7.2364238410596,7.32333333333333,44,35,9,78,74,4,114.357038687245,101.62771789795,10.2273086716038
"11",2003,0,0,4,-3.58421052631579,-2.47,8,7,2,7.93552631578947,6.96333333333333,45,42,3,74,74,0,117.589147365108,114.293310499104,3.29583686600433
"12",2004,0,0,1,-2.8205298013245,-4.76,6,5,3,7.80132450331126,7.75333333333333,38,25,13,65,61,4,72.0112792152632,42.1923994178072,29.818879797456
"13",2005,10,10,1,-4.8794701986755,-4.93,9,8,3,7.99602649006623,8.66666666666667,90,79,11,34,34,0,269.705356935888,243.85175707887,31.2051741585759
"14",2006,14,14,0,-6.26887417218543,-3.08666666666667,7,6,1,7.57152317880795,6.97666666666667,63,53,10,54,54,0,173.895749819952,150.869898890011,16.094379124341
"15",2007,19,19,4,-6.825,-4.59666666666667,6,6,0,7.64868421052632,6.31,73,46,27,54,54,0,203.235519409773,109.933793124867,83.7677324877093
"16",2008,23,21,5,-7.00993377483444,-5.11,9,8,2,7.88940397350993,7.24333333333333,77,54,23,51,51,0,196.515161101914,116.043265480209,80.471895621705
"17",2009,26,23,5,-7.50993377483444,-6.33333333333333,9,5,1,7.57986111111111,6.21,94,65,29,44,44,0,319.158856312909,177.692529428457,102.035921449865
"18",2010,1,1,3,-4.16490066225166,-5.62333333333333,10,7,5,7.81258278145695,7.92666666666667,72,51,21,63,60,3,197.118058727158,114.85715847332,63.9349711921919
"19",2011,39,36,5,-8.40065789473684,-6.13333333333333,14,11,0,8.29802631578947,6.96666666666667,75,52,23,45,45,0,212.82512731416,136.55183538581,76.2732919283507
"20",2012,16,14,7,-6.67350993377483,-6.78333333333333,9,8,1,7.11324503311258,4.29,79,57,22,46,46,0,226.877715842988,168.894925243765,55.1119763712048
"21",2013,5,5,0,-3.22781456953642,-0.59,11,9,1,7.61390728476821,7.08666666666667,45,38,7,64,55,9,93.5283959413526,77.8159342928876,9.43348392329039
"22",2014,0,0,0,-2.20529801324503,-3.89333333333333,14,11,2,8.18013245033113,7.12333333333333,21,14,7,98,94,4,38.7983370460238,29.9573227355399,8.84101431048389
"23",2015,0,0,0,-2.04342105263158,0.26,10,8,1,7.99934210526316,7.01333333333333,15,11,4,91,79,12,16.8189824036124,13.5231455376081,3.29583686600433
"24",2016,3,3,0,-4.10927152317881,-2.00333333333333,8,7,1,8.05099337748344,6.35666666666667,30,28,2,104,95,9,85.1540268488292,76.7984981934947,1.38629436111989
"25",2017,0,0,0,-0.863576158940397,-0.753333333333333,11,9,1,8.2635761589404,7.01,0,0,0,169,139,30,0,0,0
"26",2018,0,0,0,-2.4794701986755,-1.24666666666667,15,11,2,8.6953642384106,7.06666666666667,2,2,0,117,92,25,1.38629436111989,1.38629436111989,0
"27",2019,2,2,0,-3.53034482758621,0.064,6,5,3,7.8527027027027,6.75862068965517,33,33,0,84,76,8,92.5260464047922,92.5260464047922,0
