"","year_winter","ws_count_sic_ge95","winter_count_sic_ge95","spring_count_sic_ge95","ws_count_sic_le15","winter_count_sic_le15","spring_count_sic_le15","ws_index","winter_index","spring_index"
"1",1979,41,36,5,25,25,0,190.699194607421,161.731604974823,10.7505568153683
"2",1980,28,20,8,21,21,0,62.3623788922613,54.0446127255419,10.2273086716038
"3",1981,29,22,7,19,19,0,38.8563451194981,26.3506918326819,8.31776616671934
"4",1982,17,15,2,28,28,0,10.2273086716038,10.2273086716038,0
"5",1983,15,11,4,38,38,0,19.6897966316313,15.0076654045071,4.68213122712422
"6",1984,17,5,12,47,47,0,29.1494367230219,1.38629436111989,26.3768480007821
"7",1985,18,17,1,33,33,0,48.1646268489557,48.1646268489557,0
"8",1986,23,15,8,34,34,0,41.8928187765212,18.8669678465808,23.0258509299405
"9",1987,55,51,4,28,28,0,135.264866714457,127.217677152286,8.0471895621705
"10",1988,55,49,6,49,41,8,138.412215028086,121.240433609498,8.0471895621705
"11",1989,72,64,8,52,52,0,243.903642669748,236.972170864148,8.31776616671934
"12",1990,71,56,15,47,47,0,226.95601055751,194.789564675799,30.2569033768259
"13",1991,66,41,25,54,54,0,165.562803514306,80.8522935257471,77.6595862894706
"14",1992,58,51,7,40,36,4,156.832018445272,134.23823361364,13.6213710433872
"15",1993,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026
"16",1994,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389
"17",1995,60,55,5,55,53,2,186.633288816554,178.586099254383,8.0471895621705
"18",1996,52,39,13,65,64,1,109.697954015797,74.9673180076768,31.2051741585759
"19",1997,74,63,11,48,48,0,221.200051668264,182.428026348894,23.0258509299405
"20",1998,75,57,18,60,60,0,211.555377706007,176.616343102057,33.0294920990657
"21",1999,83,73,10,28,28,0,202.981929520701,165.657013370172,29.818879797456
"22",2000,10,0,10,111,109,2,12.476649250079,0,12.476649250079
"23",2001,69,51,18,45,45,0,183.057713957143,141.161051379493,44.3986746953407
"24",2002,44,35,9,78,74,4,114.357038687245,101.62771789795,10.2273086716038
"25",2003,45,42,3,74,74,0,117.589147365108,114.293310499104,3.29583686600433
"26",2004,38,25,13,65,61,4,72.0112792152632,42.1923994178072,29.818879797456
"27",2005,90,79,11,34,34,0,269.705356935888,243.85175707887,31.2051741585759
"28",2006,63,53,10,54,54,0,173.895749819952,150.869898890011,16.094379124341
"29",2007,73,46,27,54,54,0,203.235519409773,109.933793124867,83.7677324877093
"30",2008,77,54,23,51,51,0,196.515161101914,116.043265480209,80.471895621705
"31",2009,94,65,29,44,44,0,319.158856312909,177.692529428457,102.035921449865
"32",2010,72,51,21,63,60,3,197.118058727158,114.85715847332,63.9349711921919
"33",2011,75,52,23,45,45,0,212.82512731416,136.55183538581,76.2732919283507
"34",2012,79,57,22,46,46,0,226.877715842988,168.894925243765,55.1119763712048
"35",2013,45,38,7,64,55,9,93.5283959413526,77.8159342928876,9.43348392329039
"36",2014,21,14,7,98,94,4,38.7983370460238,29.9573227355399,8.84101431048389
"37",2015,15,11,4,91,79,12,16.8189824036124,13.5231455376081,3.29583686600433
"38",2016,30,28,2,104,95,9,85.1540268488292,76.7984981934947,1.38629436111989
"39",2017,0,0,0,169,139,30,0,0,0
"40",2018,2,2,0,117,92,25,1.38629436111989,1.38629436111989,0
"41",2019,33,33,0,84,76,8,92.5260464047922,92.5260464047922,0
"42",2020,61,44,17,76,76,0,151.115282363492,101.208685363176,53.7098042934352
