"STATION","NAME","DATE","AWND","FMTM","PGTM","TAVG","TMAX","TMIN","WDF1","WDF2","WDF5","WDFG","WDFM","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-01","7.6"," 1122"," 1202",,"-0.6","-12.2","  240",,,"  270",,"13.4",,,"17.5",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-02","7.0"," 0358"," 0452",,"-5.6","-14.4","  320",,,"  315",,"11.2",,,"15.4",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-03","5.7"," 1752"," 2303",,"-6.7","-14.4","  360",,,"  360",,"8.9",,,"12.3",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-04","9.9"," 1742"," 1727",,"-8.3","-11.1","  330",,,"  315",,"13.0",,,"18.0",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-05","9.0"," 0053"," 1217",,"-7.2","-10.0","  310",,,"  315",,"10.7",,,"14.4",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-06","5.8"," 0954"," 0954",,"-2.8","-12.8","  310",,,"  315",,"9.8",,,"12.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-07","6.6"," 0750"," 0743",,"-2.8","-10.6","  350",,,"  360",,"16.5",,,"21.6",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-08","5.9"," 2331"," 2331",,"-1.7","-8.3","  230",,,"  225",,"11.2",,,"13.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-09","3.6"," 2355"," 1758",,"-1.1","-12.2","  230",,,"  270",,"9.4",,,"10.3",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-10","6.0"," 1254"," 1325",,"-3.3","-13.9","  360",,,"  360",,"9.4",,,"11.8",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-11","4.2"," 2356"," 2348",,"-1.1","-17.2","  140",,,"  135",,"7.2",,,"9.3",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-12","10.5"," 1142"," 0904",,"2.2","-2.8","  150",,,"  135",,"15.6",,,"20.6",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-13","1.8"," 1558"," 1038",,"2.2","-8.3","  260",,,"  225",,"5.8",,,"8.7",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-14","8.5"," 1955"," 2003",,"2.8","-11.1","  120",,,"  135",,"16.5",,,"25.2",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-15","12.2"," 2055"," 1822",,"3.3","-0.6","  210",,,"  225",,"15.6",,,"23.6",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-16","11.5"," 1657"," 1903",,"1.1","-2.2","  240",,,"  225",,"16.5",,,"22.1",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-17","6.4"," 0950"," 0143",,"2.2","-2.2","  110",,,"  225",,"10.3",,,"17.0",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-18","6.2"," 0056"," 0104",,"1.1","-1.1","  250",,,"  270",,"11.6",,,"17.0",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-19","7.3"," 2250"," 2229",,"1.1","-3.3","  300",,,"  315",,"11.6",,,"14.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-20","5.7"," 0252"," 0104",,"-1.1","-8.3","  310",,,"  315",,"11.2",,,"14.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-21","6.8"," 0953"," 1004",,"1.1","-2.8","   80",,,"   90",,"11.6",,,"14.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-22","7.5"," 0157"," 0215",,"2.2","-1.1","   30",,,"   45",,"13.4",,,"17.0",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-23","10.3"," 1054"," 1113",,"1.1","-5.6","  360",,,"  360",,"11.6",,,"14.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-24","13.7"," 0725"," 2134",,"-5.0","-7.2","  330",,,"  315",,"17.0",,,"21.1",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-25","8.9"," 2057"," 2052",,"1.1","-8.3","  160",,,"  180",,"15.6",,,"20.6",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-26","6.2"," 2356"," 1540",,"2.2","-3.9","  160",,,"  180",,"9.8",,,"16.4",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-27","11.0"," 1455"," 0456",,"3.3","1.1","  180",,,"  135",,"14.3",,,"20.0",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-28","8.8"," 2052"," 2041",,"2.2","1.1","  140",,,"  135",,"12.5",,,"16.4",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-29","9.2"," 1658"," 0358",,"2.8","0.0","  220",,,"  180",,"11.2",,,"18.5",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-30","9.9"," 0747"," 0715",,"2.2","0.6","  140",,,"  135",,"14.8",,,"22.6",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1987-12-31","12.0"," 0851"," 0956",,"4.4","1.1","  160",,,"  180",,"16.1",,,"23.1",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-01","7.1"," 0258"," 0232",,"3.3","1.1","  190",,,"  180",,"11.2",,,"17.5",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-02","6.5"," 2353"," 2340",,"2.2","-2.8","  160",,,"  180",,"12.5",,,"15.4",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-03","13.1"," 1204"," 1159",,"2.8","0.6","  140",,,"  135",,"17.9",,,"24.7",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-04","2.7"," 1459"," 1503",,"1.7","-7.8","  210",,,"  225",,"7.2",,,"8.2",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-05","3.0"," 2352"," 2357",,"0.6","-10.6","   20",,,"  360",,"6.3",,,"7.7",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-06","5.9"," 2156"," 2214",,"1.7","-2.2","  170",,,"  180",,"8.0",,,"11.8",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-07","6.6"," 2358"," 0025",,"1.7","0.0","   80",,,"  135",,"8.9",,,"13.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-08","5.8"," 0259"," 0024",,"2.2","-1.7","   80",,,"   90",,"10.3",,,"15.4",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-09","4.2"," 0056"," 0009",,"1.7","0.0","  120",,,"  135",,"9.4",,,"11.8",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-10","9.4"," 2356"," 2313",,"2.2","0.6","   80",,,"   90",,"13.9",,,"20.6",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-11","12.5"," 0654"," 0004",,"2.8","0.6","   70",,,"   90",,"16.1",,,"20.6",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-12","6.1"," 2017"," 2242",,"1.7","-2.2","   20",,,"  360",,"10.3",,,"12.3",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-13","9.5"," 1150"," 1709",,"-1.7","-3.3","   30",,,"  360",,"11.2",,,"14.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-14","8.0"," 0358"," 0025",,"-1.7","-2.8","  350",,,"  360",,"10.3",,,"14.4",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-15","5.0"," 0557"," 0024",,"-0.6","-4.4","  360",,,"  360",,"6.3",,,"8.7",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-16","2.9"," 0851"," 0907",,"-1.7","-10.6","  290",,,"  270",,"5.4",,,"6.2",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-17","2.5"," 0828"," 0011",,"-1.1","-13.9","  180",,,"  270",,"6.3",,,"11.8",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-18","3.0"," 2255"," 2339",,"-2.2","-10.6","  310",,,"  315",,"4.0",,,"5.1",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-19","5.6"," 2152"," 2237",,"-1.1","-11.7","   50",,,"   45",,"10.3",,,"12.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-20","12.7"," 2253"," 2128",,"-1.7","-3.9","  360",,,"  360",,"16.1",,,"20.6",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-21","12.3"," 2353"," 0955",,"-2.8","-4.4","  360",,,"  360",,"14.8",,,"19.5",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-01-22","8.8"," 1651"," 0322",,"-3.9","-7.2","  280",,,"  360",,"10.3",,,"13.9",
