"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-01","10.2",",,W",,,"2.8",",,W","0.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-02","8.2",",,W",,,"3.3",",,W","1.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-03","2.9",",,W",,,"2.8",",,W","-3.2",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-04","6.9",",,W",,,"0.6",",,W","-2.7",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-05","11.4",",,W",,,"-1.6",",,W","-7.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-07","4.2",",,W",,,"-2.1",",,W","-11.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-08","3.7",",,W",,,"0.0",",,W","-14.9",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-09","13.5",",,W",,,"1.1",",,W","-6.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-10","13.1",",,W",,,"-4.9",",,W","-8.8",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-11","13.1",",,W","-4.2","H,,S","-3.8",",,W","-5.5",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-12","10.4",",,W","-4.8","H,,S","-4.3",",,W","-5.5",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-13","3.2",",,W","-5.2","H,,S","-4.3",",,W","-11.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-14","6.8",",,W",,,"-3.8",",,W","-7.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-15","10.4",",,W",,,"-2.7",",,W","-6.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-16","11.7",",,W",,,"-2.1",",,W","-3.8",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-17","8.9",",,W","-4.0","H,,S","-2.7",",,W","-8.2",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-18","4.8",",,W","-6.4","H,,S","-2.1",",,W","-12.7",",,W"
